Registration year,Week number,Week beginning,Births registered
2009,4,1/19/09,1161
2009,3,1/12/09,1207
2009,2,1/5/09,1704
2009,1,12/29/08,738
2008,52,12/22/08,787
2008,51,12/15/08,1058
2008,50,12/8/08,1122
2008,49,12/1/08,1042
2008,48,11/24/08,1107
2008,47,11/17/08,1168
2008,46,11/10/08,1103
2008,45,11/3/08,1119
2008,44,10/27/08,1069
2008,43,10/20/08,1072
2008,42,10/13/08,1151
2008,41,10/6/08,1288
2008,40,9/29/08,1222
2008,39,9/22/08,1102
2008,38,9/15/08,1102
2008,37,9/8/08,1155
2008,36,9/1/08,1258
2008,35,8/25/08,1219
2008,34,8/18/08,1095
2008,33,8/11/08,1232
2008,32,8/4/08,1271
2008,31,7/28/08,1153
2008,30,7/21/08,1176
2008,29,7/14/08,1187
2008,28,7/7/08,1147
2008,27,6/30/08,1192
2008,26,6/23/08,1143
2008,25,6/16/08,1259
2008,24,6/9/08,1137
2008,23,6/2/08,1158
2008,22,5/26/08,1108
2008,21,5/19/08,1121
2008,20,5/12/08,1224
2008,19,5/5/08,1096
2008,18,4/28/08,1120
2008,17,4/21/08,1139
2008,16,4/14/08,1153
2008,15,4/7/08,1103
2008,14,3/31/08,1161
2008,13,3/24/08,1205
2008,12,3/17/08,966
2008,11,3/10/08,1158
2008,10,3/3/08,1192
2008,9,2/25/08,1140
2008,8,2/18/08,1111
2008,7,2/11/08,1125
2008,6,2/4/08,1179
2008,5,1/28/08,1104
2008,4,1/21/08,1120
2008,3,1/14/08,1251
2008,2,1/7/08,1481
2008,1,12/31/07,942
2007,52,12/24/07,589
2007,51,12/17/07,1216
2007,50,12/10/07,1117
2007,49,12/3/07,1142
2007,48,11/26/07,1105
2007,47,11/19/07,1105
2007,46,11/12/07,1066
2007,45,11/5/07,1062
2007,44,10/29/07,1091
2007,43,10/22/07,1108
2007,42,10/15/07,1197
2007,41,10/8/07,1207
2007,40,10/1/07,1186
2007,39,9/24/07,1203
2007,38,9/17/07,1035
2007,37,9/10/07,1120
2007,36,9/3/07,1200
2007,35,8/27/07,1174
2007,34,8/20/07,1145
2007,33,8/13/07,1149
2007,32,8/6/07,1180
2007,31,7/30/07,1150
2007,30,7/23/07,1187
2007,29,7/16/07,1077
2007,28,7/9/07,1171
2007,27,7/2/07,1138
2007,26,6/25/07,1097
2007,25,6/18/07,1134
2007,24,6/11/07,1039
2007,23,6/4/07,1153
2007,22,5/28/07,1157
2007,21,5/21/07,1044
2007,20,5/14/07,1116
2007,19,5/7/07,1080
2007,18,4/30/07,1143
2007,17,4/23/07,1129
2007,16,4/16/07,1112
2007,15,4/9/07,1149
2007,14,4/2/07,917
2007,13,3/26/07,1068
2007,12,3/19/07,1130
2007,11,3/12/07,1048
2007,10,3/5/07,1092
2007,9,2/26/07,1013
2007,8,2/19/07,1092
2007,7,2/12/07,1048
2007,6,2/5/07,1093
2007,5,1/29/07,1079
2007,4,1/22/07,1076
2007,3,1/15/07,1144
2007,2,1/8/07,1273
2007,1,1/1/07,1053
2006,52,12/25/06,622
2006,51,12/18/06,1202
2006,50,12/11/06,1000
2006,49,12/4/06,976
2006,48,11/27/06,1018
2006,47,11/20/06,1027
2006,46,11/13/06,1093
2006,45,11/6/06,1077
2006,44,10/30/06,1090
2006,43,10/23/06,1119
2006,42,10/16/06,1183
2006,41,10/9/06,1213
2006,40,10/2/06,1282
2006,39,9/25/06,1121
2006,38,9/18/06,1031
2006,37,9/11/06,1068
2006,36,9/4/06,1058
2006,35,8/28/06,1061
2006,34,8/21/06,1150
2006,33,8/14/06,1106
2006,32,8/7/06,1080
2006,31,7/31/06,1075
2006,30,7/24/06,1104
2006,29,7/17/06,1081
2006,28,7/10/06,1114
2006,27,7/3/06,1129
2006,26,6/26/06,1112
2006,25,6/19/06,1102
2006,24,6/12/06,1110
2006,23,6/5/06,1150
2006,22,5/29/06,1064
2006,21,5/22/06,1055
2006,20,5/15/06,1123
2006,19,5/8/06,1089
2006,18,5/1/06,1035
2006,17,4/24/06,1131
2006,16,4/17/06,1096
2006,15,4/10/06,903
2006,14,4/3/06,1070
2006,13,3/27/06,981
2006,12,3/20/06,1088
2006,11,3/13/06,1042
2006,10,3/6/06,1061
2006,9,2/27/06,962
2006,8,2/20/06,1011
2006,7,2/13/06,1006
2006,6,2/6/06,981
2006,5,1/30/06,997
2006,4,1/23/06,1036
2006,3,1/16/06,1118
2006,2,1/9/06,1234
2006,1,1/2/06,1053
2005,52,12/26/05,597
2005,51,12/19/05,1064
2005,50,12/12/05,1002
2005,49,12/5/05,1005
2005,48,11/28/05,1055
2005,47,11/21/05,1017
2005,46,11/14/05,1031
2005,45,11/7/05,1041
2005,44,10/31/05,1033
2005,43,10/24/05,1032
2005,42,10/17/05,1132
2005,41,10/10/05,1062
2005,40,10/3/05,1173
2005,39,9/26/05,1049
2005,38,9/19/05,1010
2005,37,9/12/05,1061
2005,36,9/5/05,1107
2005,35,8/29/05,1132
2005,34,8/22/05,1060
2005,33,8/15/05,1117
2005,32,8/8/05,1125
2005,31,8/1/05,1131
2005,30,7/25/05,1048
2005,29,7/18/05,1035
2005,28,7/11/05,1048
2005,27,7/4/05,1098
2005,26,6/27/05,1077
2005,25,6/20/05,1020
2005,24,6/13/05,1069
2005,23,6/6/05,1091
2005,22,5/30/05,1041
2005,21,5/23/05,978
2005,20,5/16/05,1029
2005,19,5/9/05,1072
2005,18,5/2/05,961
2005,17,4/25/05,1019
2005,16,4/18/05,1047
2005,15,4/11/05,1037
2005,14,4/4/05,1075
2005,13,3/28/05,1059
2005,12,3/21/05,921
2005,11,3/14/05,1042
2005,10,3/7/05,1053
2005,9,2/28/05,1069
2005,8,2/21/05,984
2005,7,2/14/05,984
2005,6,2/7/05,998
2005,5,1/31/05,1065
2005,4,1/24/05,1036
2005,3,1/17/05,1048
2005,2,1/10/05,1224
2005,1,1/3/05,1122
2004,53,12/27/04,671
2004,52,12/20/04,1051
2004,51,12/13/04,915
2004,50,12/6/04,961
2004,49,11/29/04,1042
2004,48,11/22/04,1094
2004,47,11/15/04,958
2004,46,11/8/04,1042
2004,45,11/1/04,1058
2004,44,10/25/04,1082
2004,43,10/18/04,983
2004,42,10/11/04,1062
2004,41,10/4/04,1180
2004,40,9/27/04,1071
2004,39,9/20/04,1072
2004,38,9/13/04,1042
